question;answer1;answer2;answer3;answer4
Wie viele Schichten hat das OSI Modell?;5 Schichten;6 Schichten;7 Schichten;8 Schichten
Wer hat das Betriebssystem Linux erfunden?;Steve Jobs;Linus Torvalds;Mark Zuckerberg;Bill Gates
Wofuer steht das Wort String in der Informatik?;es wird in Navigationssystemen verwendet;es ist ein Baustein in einem PC;es ist eine Zeichenkette;bezeichnet ein Uebertragungsverfahren
Wofuer steht die Abkuerzung HTML?;Hyper Tunnel Managing Layer;Heuristic Transfer Messaging Loader;Hydro Termic Modelling Lockup;Hyper Text Markup Language
Welche Aufgabe hat eine Firewall in der Informatik?;beschuetzt ein Netzwerk vor unberechtigtem Zugriff;regelt den Zutritt zu einem Serverraum;greift ein Netzwerk an;ist ein sicherer Vorgang zur Datenspeicherung
Welche dieser Aussagen zur Umwandlung ist korrekt?;1 Gigabyte = 1000 Megabyte;1 Gigabyte = 1024 Megabyte;1 Gigabyte = 1000 Megabit;1 Gigabyte = 1024 Megabit
Wofuer steht die Abkuerzung PCM in der Elektrotechnik?;Puls Code Modulation;Power Control Mechanism;Personal Control Manager;Private Capsule Magnet
Welche Aufgabe hat ein AD Umsetzer?;dekodiert Audiosignale;erkennt die anliegende Abtastrate eines Mediums;wandelt analoge Signale in digitale Signale um;fuehrt Fehlerkorrekturen durch
Wofuer steht die Abkuerzung IP?;Internet Protection;Internet Protocol;Internet Permission;Internet Powershell
Was ist die Aufgabe eines WLAN?;bezeichnet eine Zugriffsart ins Internet;bezeichnet eine kabelgebundene Uebertragung;bezeichnet ein Verschluesselungsverfahren bei der kabellosen Uebertragung;bezeichnet eine kabellose Uebertragung
Wofuer stehen die Abkuerzungen TX und RX?;kodieren und dekodieren;senden und empfangen;speichern und entfernen;Spannungswert anheben und absenken
